Pclass,Fare,Embarked
3,7.25,S
1,71.2833,C
3,7.925,S
1,53.1,S
3,8.05,S
3,8.4583,Q
1,51.8625,S
3,21.075,S
3,11.1333,S
2,30.0708,C
3,16.7,S
1,26.55,S
3,8.05,S
3,31.275,S
3,7.8542,S
2,16.0,S
3,29.125,Q
2,13.0,S
3,18.0,S
3,7.225,C
2,26.0,S
2,13.0,S
3,8.0292,Q
1,35.5,S
3,21.075,S
3,31.3875,S
3,7.225,C
1,263.0,S
3,7.8792,Q
3,7.8958,S
1,27.7208,C
1,146.5208,C
3,7.75,Q
2,10.5,S
1,82.1708,C
1,52.0,S
3,7.2292,C
3,8.05,S
3,18.0,S
3,11.2417,C
3,9.475,S
2,21.0,S
3,7.8958,C
2,41.5792,C
3,7.8792,Q
3,8.05,S
3,15.5,Q
3,7.75,Q
3,21.6792,C
3,17.8,S
3,39.6875,S
3,7.8,S
1,76.7292,C
2,26.0,S
1,61.9792,C
1,35.5,S
2,10.5,S
3,7.2292,C
2,27.75,S
3,46.9,S
3,7.2292,C
1,80.0,
1,83.475,S
3,27.9,S
1,27.7208,C
3,15.2458,C
2,10.5,S
3,8.1583,S
3,7.925,S
3,8.6625,S
2,10.5,S
3,46.9,S
2,73.5,S
3,14.4542,C
3,56.4958,S
3,7.65,S
3,7.8958,S
3,8.05,S
2,29.0,S
3,12.475,S
3,9.0,S
3,9.5,S
3,7.7875,Q
1,47.1,S
2,10.5,S
3,15.85,S
3,34.375,S
3,8.05,S
1,263.0,S
3,8.05,S
3,8.05,S
3,7.8542,S
1,61.175,S
3,20.575,S
3,7.25,S
3,8.05,S
1,34.6542,C
1,63.3583,C
2,23.0,S
2,26.0,S
3,7.8958,S
